Date,Open,High,Low,Close,Adj Close,Volume
2019-04-02,45550,46100,45350,45750,45750,9480688
2019-04-03,46750,46750,45800,46600,46600,12436570
2019-04-04,46150,47100,46150,46950,46950,12650168
2019-04-05,46950,47550,46600,46850,46850,8546339
2019-04-08,47250,47250,46150,46650,46650,8507909
2019-04-09,46700,46950,46200,46650,46650,6878761
2019-04-10,46400,46700,46050,46700,46700,11883995
2019-04-11,46700,46800,46150,46250,46250,13697399
2019-04-12,46050,46900,46000,46850,46850,7668936
2019-04-15,47150,47500,47000,47050,47050,8733019
2019-04-16,47400,47400,46800,47250,47250,7730881
2019-04-17,47300,47600,47000,47050,47050,5513658
2019-04-18,47200,47250,45500,45600,45600,12808747
2019-04-19,45750,46000,45250,45300,45300,8479710
2019-04-22,45400,45900,45100,45350,45350,6006957
2019-04-23,45050,45500,45000,45200,45200,6920566
2019-04-24,45400,45650,44150,44750,44750,13299267
2019-04-25,44250,45000,44100,44650,44650,10868965
2019-04-26,44200,45000,43800,44850,44850,9739982
2019-04-29,45150,46150,45100,46150,46150,8777517
2019-04-30,46000,46300,45350,45850,45850,11121273
2019-05-02,45500,46150,45400,45900,45900,8625126
2019-05-03,45900,46050,45300,45300,45300,6562916
2019-05-07,45250,45300,44400,44850,44850,12014907
2019-05-08,44300,44850,44200,44250,44250,10398754
2019-05-09,43900,44250,42450,42450,42450,23029718
2019-05-10,42600,43450,42450,42900,42900,14579512
2019-05-13,42500,43200,42350,42650,42650,7635079
2019-05-14,41300,43100,41300,42650,42650,11563730
2019-05-15,42700,43050,42550,42550,42550,7670185
2019-05-16,42350,42400,41350,41550,41550,13687828
2019-05-17,41950,42050,40850,41200,41200,13357951
2019-05-20,41650,42100,41550,42000,42000,15752397
2019-05-21,42600,43950,42350,43150,43150,18812133
2019-05-22,43700,43800,42400,43500,43500,11033339
2019-05-23,43900,44000,43250,43850,43850,12259006
2019-05-24,43800,43800,42400,42700,42700,13966305
2019-05-27,42500,43000,42350,42650,42650,8066669
2019-05-28,42550,42950,42150,42550,42550,24506881
2019-05-29,41850,42100,41300,41800,41800,14930618
2019-05-30,42200,42700,42150,42550,42550,11766018
2019-05-31,42600,42800,42150,42500,42500,11365999
2019-06-03,42950,43900,42500,43800,43800,15466580
2019-06-04,43400,43700,43000,43450,43450,9913497
2019-06-05,44050,44200,43700,43900,43900,12464135
2019-06-07,43600,44350,43450,44200,44200,11683682
2019-06-10,44300,44850,44050,44800,44800,8792182
2019-06-11,44800,45000,44550,44850,44850,6664872
2019-06-12,44800,45050,44300,44600,44600,8607439
2019-06-13,44200,44400,43400,43750,43750,16906541
2019-06-14,43750,44150,43300,44000,44000,9322873
2019-06-17,43750,44050,43400,43900,43900,11890424
2019-06-18,43750,44500,43650,44350,44350,7994928
2019-06-19,45450,45450,45000,45350,45350,10417690
2019-06-20,44850,45500,44850,45500,45500,7147785
2019-06-21,45750,45800,45200,45700,45700,9454913
2019-06-24,45200,45800,45200,45500,45500,6085066
2019-06-25,45200,45800,45200,45600,45600,7076774
2019-06-26,45800,46000,45600,45700,45700,9226097
2019-06-27,46000,46600,45750,46500,46500,12603534
2019-06-28,47000,47000,46700,47000,47000,12949231
2019-07-01,47350,47400,46250,46600,46600,11383522
2019-07-02,46200,46900,45850,46250,46250,8463073
2019-07-03,45750,46350,45200,45400,45400,9669368
2019-07-04,45250,46200,45250,46000,46000,6365573
2019-07-05,45950,45950,45250,45650,45650,7235395
2019-07-08,44750,44800,44350,44400,44400,7823843
2019-07-09,44850,45450,44700,45100,45100,7646421
2019-07-10,45550,46150,45500,45550,45550,9253930
2019-07-11,46350,46550,46150,46200,46200,10989751
2019-07-12,46350,46400,45800,46300,46300,5245804
2019-07-15,45950,46650,45750,46450,46450,4717226
2019-07-16,46450,46850,46300,46850,46850,7407824
2019-07-17,46150,46350,45950,46050,46050,5216602
2019-07-18,46450,46450,45650,46100,46100,5143554
2019-07-19,46650,46950,46600,46800,46800,8819393
2019-07-22,46800,47300,46600,47200,47200,9009109
2019-07-23,47350,47550,47050,47300,47300,9061381
2019-07-24,47100,47150,46250,46400,46400,8756522
2019-07-25,47150,47200,46600,47200,47200,8408838
2019-07-26,46650,47150,46550,47150,47150,7873886
2019-07-29,46800,47050,46000,46100,46100,6856846
2019-07-30,46300,46850,46300,46550,46550,5551014
2019-07-31,46200,46600,45000,45350,45350,12872916
2019-08-01,44900,45500,44850,45200,45200,7811181
2019-08-02,44550,45500,44300,44950,44950,12151374
2019-08-05,44350,44600,43600,43950,43950,14214086
2019-08-06,42500,43800,42500,43500,43500,15083824
2019-08-07,43600,43900,43100,43200,43200,10002533
2019-08-08,43250,43500,42650,42650,42650,16926881
2019-08-09,43250,43350,43050,43150,43150,9685147
2019-08-12,44000,44000,43550,43700,43700,8466169
2019-08-13,43500,43500,42950,43000,43000,7276979
2019-08-14,43900,44250,43500,43700,43700,8750135
2019-08-16,43800,43900,43300,43900,43900,9528115
2019-08-19,44350,44350,43500,43600,43600,6014218
2019-08-20,43950,44600,43550,44450,44450,8434205
2019-08-21,44350,44800,44150,44500,44500,6571717
2019-08-22,44500,44700,43850,44050,44050,8061177
2019-08-23,43800,44200,43650,43950,43950,5017381
2019-08-26,43050,43800,42950,43600,43600,7954949
2019-08-27,43650,44200,43600,44050,44050,16883932
2019-08-28,44100,44400,43750,44150,44150,5758333
2019-08-29,44200,44200,43050,43400,43400,10768862
2019-08-30,43750,44300,43750,44000,44000,9899073
2019-09-02,44850,44850,43650,43800,43800,7185537
2019-09-03,43550,43650,43100,43250,43250,9774941
2019-09-04,43250,44100,43150,44100,44100,12441837
2019-09-05,44800,46100,44450,45700,45700,18297430
2019-09-06,46500,46500,45850,46300,46300,9896562
2019-09-09,46450,47000,46300,46900,46900,9434157
2019-09-10,47100,47200,46550,47000,47000,9231792
2019-09-11,47300,47400,46800,47150,47150,16141619
2019-09-16,47000,47100,46400,47100,47100,15550926
2019-09-17,47000,47100,46800,46900,46900,7006280
2019-09-18,46900,47700,46800,47700,47700,10413027
2019-09-19,48050,49200,47850,49150,49150,16461413
2019-09-20,49400,49600,49100,49200,49200,15460210
2019-09-23,49250,49300,49000,49300,49300,7568553
2019-09-24,49050,49650,48850,49500,49500,7871955
2019-09-25,49200,49350,48800,48900,48900,9187141
2019-09-26,49000,49250,48900,49200,49200,8494756
2019-09-27,48000,48700,48000,48400,48400,8048041
2019-09-30,48050,49250,47900,49050,49050,9497119
2019-10-01,48900,49100,48650,48850,48850,6206035
2019-10-02,48350,48400,47600,47600,47600,8382463
2019-10-04,47400,48650,47350,48000,48000,9331695
2019-10-07,48350,48700,47650,47750,47750,7047273
2019-10-08,47900,49000,47600,48900,48900,14239367
2019-10-10,48200,49200,48000,48550,48550,18639855
2019-10-11,49000,49450,48800,49150,49150,7783275
2019-10-14,50000,50300,49850,50000,50000,11130635
2019-10-15,49900,50200,49900,50100,50100,6058105
2019-10-16,50700,50900,50400,50700,50700,9136282
2019-10-17,50500,50600,50100,50500,50500,6701380
2019-10-18,50300,50900,49650,49900,49900,8483106
2019-10-21,49900,50400,49800,50300,50300,4406531
2019-10-22,50800,51500,50700,51200,51200,10898729
2019-10-23,51300,51500,50800,51200,51200,8663880
2019-10-24,52500,52500,50500,50700,50700,21185785
2019-10-25,50800,51200,50500,50900,50900,7879897
2019-10-28,50700,51500,50700,51300,51300,6431522
2019-10-29,51400,51700,50800,51100,51100,7581629
2019-10-30,50700,50800,50200,50400,50400,8959435
2019-10-31,51000,51400,50300,50400,50400,10304777
2019-11-01,50600,51200,50400,51200,51200,8467846
2019-11-04,51700,52300,51400,52300,52300,13012411
2019-11-05,52400,52700,52100,52700,52700,10581034
2019-11-06,52900,53500,52700,53300,53300,14361133
2019-11-07,53400,53400,52400,52900,52900,9257116
2019-11-08,53200,53300,52000,52100,52100,11603290
2019-11-11,52200,52200,51400,51600,51600,8185952
2019-11-12,51800,52600,51600,52600,52600,6576148
2019-11-13,52500,52500,52000,52500,52500,6225196
2019-11-14,null,null,null,null,null,null
2019-11-15,52900,53700,52600,53700,53700,9703360
2019-11-18,53600,53800,53200,53500,53500,7746554
2019-11-19,53200,53500,52700,53500,53500,8907177
2019-11-20,53400,53400,52000,52000,52000,12560070
2019-11-21,51600,52100,50600,51000,51000,14298646
2019-11-22,51000,51600,50900,51600,51600,8478310
2019-11-25,52200,52600,51700,51800,51800,9050625
2019-11-26,51900,52900,51800,51800,51800,27372226
2019-11-27,51800,52300,51600,52200,52200,7546261
2019-11-28,51900,52100,51300,51300,51300,6833885
2019-11-29,51200,51400,50200,50300,50300,11179334
2019-12-02,50900,51300,50400,50400,50400,18877252
2019-12-03,49800,50300,49500,49900,49900,12059812
2019-12-04,49600,49850,49000,49450,49450,13246549
2019-12-05,50200,50400,49500,49500,49500,10449715
2019-12-06,50100,50900,49950,50400,50400,11414563
2019-12-09,50900,51400,50700,51200,51200,8470627
2019-12-10,51000,51600,50700,51500,51500,6882771
2019-12-11,51500,52200,51400,51900,51900,11379521
2019-12-12,53000,53300,52700,53300,53300,29178697
2019-12-13,54500,54800,53900,54700,54700,18120261
2019-12-16,54500,54900,54300,54700,54700,11512405
2019-12-17,55800,56700,55400,56700,56700,19358433
2019-12-18,56700,57200,56000,56300,56300,15558208
2019-12-19,57000,57300,55500,56000,56000,14180520
2019-12-20,56100,56500,55600,56000,56000,12095519
2019-12-23,56100,56400,55100,55500,55500,9839252
2019-12-24,55600,55700,54800,55000,55000,11868463
2019-12-26,54700,55400,54400,55400,55400,9645034
2019-12-27,55700,56900,55500,56500,56500,12313056
2019-12-30,56200,56600,55700,55800,55800,8356767
2020-01-02,55500,56000,55000,55200,55200,12993228
2020-01-03,56000,56600,54900,55500,55500,15422255
2020-01-06,54900,55600,54600,55500,55500,10278951
2020-01-07,55700,56400,55600,55800,55800,10009778
2020-01-08,56200,57400,55900,56800,56800,23501171
2020-01-09,58400,58600,57400,58600,58600,24102579
2020-01-10,58800,59700,58300,59500,59500,16000170
2020-01-13,59600,60000,59100,60000,60000,11359139
2020-01-14,60400,61000,59900,60000,60000,16906295
2020-01-15,59500,59600,58900,59000,59000,14300928
2020-01-16,59100,60700,59000,60700,60700,14381774
2020-01-17,61900,62000,61000,61300,61300,16025661
2020-01-20,62000,62800,61700,62400,62400,12528855
2020-01-21,62000,62400,61200,61400,61400,11142693
2020-01-22,60500,62600,60400,62300,62300,15339565
2020-01-23,61800,61800,60700,60800,60800,14916555
2020-01-28,59400,59400,58300,58800,58800,23664541
2020-01-29,59100,59700,58800,59100,59100,16446102
2020-01-30,58800,58800,56800,57200,57200,20821939
2020-01-31,57800,58400,56400,56400,56400,19749457
2020-02-03,55500,57400,55200,57200,57200,23995260
2020-02-04,57100,59000,56800,58900,58900,21800192
2020-02-05,60000,60200,58900,59500,59500,19278165
2020-02-06,60100,61100,59700,61100,61100,14727159
2020-02-07,61100,61200,59700,60400,60400,16402493
2020-02-10,59200,59800,59100,59700,59700,13107121
2020-02-11,59800,60700,59700,59900,59900,11071231
2020-02-12,60300,60700,59700,60500,60500,12904207
2020-02-13,61200,61600,60500,60700,60700,18449775
2020-02-14,60900,61900,60200,61800,61800,13276067
2020-02-17,61600,62000,61200,61500,61500,8740596
2020-02-18,60800,60900,59700,59800,59800,16674266
2020-02-19,59800,60400,59400,60200,60200,12951496
2020-02-20,60700,61300,59600,60000,60000,14591924
2020-02-21,58800,59800,58500,59200,59200,13777393
2020-02-24,57400,58100,56800,56800,56800,25627537
2020-02-25,56200,58000,56200,57900,57900,23885408
2020-02-26,56000,57000,56000,56500,56500,25483102
2020-02-27,56300,56900,55500,55900,55900,23209541
2020-02-28,55000,55500,54200,54200,54200,30054227
2020-03-02,54300,55500,53600,55000,55000,30403412
2020-03-03,56700,56900,55100,55400,55400,30330295
2020-03-04,54800,57600,54600,57400,57400,24765728
2020-03-05,57600,58000,56700,57800,57800,21698990
2020-03-06,56500,57200,56200,56500,56500,18716656
2020-03-09,56500,56500,56500,56500,56500,0
2020-03-10,53800,54900,53700,54600,54600,32106554
2020-03-11,54300,54400,52000,52100,52100,45707281
2020-03-12,52100,52100,52100,52100,52100,0
2020-03-13,null,null,null,null,null,null
2020-03-16,null,null,null,null,null,null
2020-03-17,null,null,null,null,null,null
2020-03-18,null,null,null,null,null,null
2020-03-19,null,null,null,null,null,null
2020-03-20,null,null,null,null,null,null
2020-03-23,null,null,null,null,null,null
2020-03-24,null,null,null,null,null,null
2020-03-25,null,null,null,null,null,null
2020-03-26,null,null,null,null,null,null
2020-03-27,null,null,null,null,null,null
2020-03-30,null,null,null,null,null,null
2020-03-31,null,null,null,null,null,null
2020-04-01,null,null,null,null,null,null
2020-04-02,null,null,null,null,null,null
2020-04-03,47400,47600,46550,47000,47000,22429642
